age,gender,income,education,vote_2016,govt_spending,healthcare_govt,immigration_concern,urban_rural,main_concerns
25,Male,32440.0,Some College,Trump,2,2,1,Suburban,"economy, healthcare, immigration (top priority)"
65,Female,33462.0,College,Clinton,7,4,5,Urban,"immigration, healthcare, social security (top priority)"
45,Female,45470.0,College,Clinton,1,5,7,Urban,"economy, immigration (top priority)"
35,Female,57347.0,HS,Trump,4,3,5,Urban,"immigration, economy, healthcare (top priority)"
18,Female,68272.0,Some College,Clinton,2,2,5,Rural,"economy, immigration, healthcare, rural development (major concern)"
18,Female,33936.0,Some College,Clinton,1,1,7,Urban,"economy, immigration, healthcare (important issue)"
18,Female,79854.0,Postgrad,Trump,7,5,5,Suburban,"healthcare, immigration (top priority)"
55,Female,44578.0,College,Other,5,6,2,Rural,"healthcare, economy, immigration, social security, rural development (important issue)"
35,Male,49573.0,Some College,Clinton,7,1,3,Suburban,"immigration, economy (major concern)"
45,Male,35056.0,HS,Clinton,3,2,6,Urban,"immigration, economy (important issue)"
18,Male,15000.0,College,Clinton,4,2,5,Rural,"immigration, economy, healthcare, cost of living, rural development (major concern)"
65,Female,67681.0,HS,Trump,6,6,5,Urban,"healthcare, immigration, social security (major concern)"
55,Female,64737.0,Some College,Clinton,4,3,4,Suburban,"economy, immigration, social security (major concern)"
25,Male,44373.0,HS,Trump,6,6,3,Rural,"healthcare, immigration, rural development (important issue)"
18,Female,51340.0,College,Other,4,4,1,Suburban,"economy, healthcare, immigration (important issue)"
18,Female,60319.0,HS,Clinton,3,1,3,Suburban,"economy, immigration, healthcare (major concern)"
25,Male,18749.0,Some College,Clinton,6,3,3,Urban,"healthcare, immigration, cost of living (top priority)"
35,Female,39419.0,Postgrad,Clinton,1,5,7,Urban,"economy, immigration, healthcare (important issue)"
25,Female,65885.0,HS,Clinton,6,7,7,Suburban,"healthcare, immigration, economy (top priority)"
25,Male,24914.0,Some College,Trump,2,4,7,Urban,"immigration, economy, healthcare, cost of living (top priority)"
35,Female,55871.0,Some College,Clinton,1,3,6,Rural,"economy, immigration, rural development (top priority)"
18,Male,22868.0,HS,Clinton,2,7,3,Rural,"healthcare, economy, immigration, cost of living, rural development (major concern)"
25,Female,59329.0,College,Trump,7,7,6,Rural,"healthcare, immigration, rural development (major concern)"
25,Female,49287.0,HS,Clinton,4,1,5,Suburban,"immigration, economy (major concern)"
35,Female,17697.0,Some College,Trump,1,2,7,Suburban,"economy, immigration, cost of living (important issue)"
45,Male,73295.0,Some College,Clinton,4,5,5,Rural,"healthcare, immigration, economy, rural development (important issue)"
18,Female,35308.0,College,Trump,7,6,7,Rural,"immigration, healthcare, rural development (major concern)"
35,Female,33795.0,College,Other,5,1,2,Suburban,"economy, immigration (important issue)"
35,Male,54011.0,HS,Trump,4,4,6,Urban,"immigration, economy, healthcare (important issue)"
18,Female,72973.0,HS,Other,7,7,6,Urban,"healthcare, immigration (top priority)"
35,Male,29684.0,College,Clinton,4,4,1,Suburban,"economy, healthcare, cost of living (top priority)"
18,Female,51234.0,Some College,Clinton,7,7,4,Suburban,"healthcare, immigration (top priority)"
18,Male,58576.0,College,Trump,2,2,3,Rural,"economy, immigration, rural development (major concern)"
65,Male,63862.0,College,Trump,7,2,1,Urban,"healthcare, economy, social security (important issue)"
65,Male,53529.0,College,Clinton,6,5,6,Urban,"immigration, healthcare, economy, social security (important issue)"
55,Female,42659.0,Some College,Clinton,5,6,1,Urban,"healthcare, economy, social security (top priority)"
25,Male,33448.0,Some College,Clinton,4,5,2,Urban,"healthcare, economy (important issue)"
18,Female,51723.0,College,Clinton,7,2,4,Urban,"immigration, healthcare (major concern)"
45,Male,28557.0,Some College,Clinton,7,2,6,Suburban,"immigration, healthcare, cost of living (important issue)"
25,Male,15000.0,HS,Trump,4,4,6,Suburban,"immigration, economy, cost of living (important issue)"
18,Female,58731.0,Postgrad,Clinton,5,2,3,Suburban,"economy, immigration (major concern)"
35,Female,68079.0,Postgrad,Clinton,5,3,7,Urban,"immigration, economy, healthcare (top priority)"
18,Male,15000.0,Some College,Trump,7,7,4,Urban,"healthcare, immigration, cost of living (top priority)"
65,Female,29805.0,HS,Trump,1,1,2,Suburban,"economy, immigration, healthcare, social security, cost of living (major concern)"
25,Female,62383.0,Some College,Trump,2,2,5,Rural,"economy, immigration, rural development (important issue)"
45,Female,91150.0,College,Trump,5,5,1,Urban,"healthcare, economy, immigration (major concern)"
25,Male,50416.0,Postgrad,Clinton,5,6,3,Rural,"healthcare, economy, rural development (major concern)"
35,Male,35440.0,HS,Trump,3,7,6,Urban,"healthcare, immigration, economy (important issue)"
